Date,Open,High,Low,Close,Adj Close,Volume
2020-09-14,5475.000000,5775.000000,5475.000000,5750.000000,5560.252930,71784900
2020-09-15,5750.000000,5825.000000,5600.000000,5675.000000,5487.727539,64463700
2020-09-16,5750.000000,5750.000000,5625.000000,5650.000000,5463.552734,28968000
2020-09-17,5600.000000,5750.000000,5525.000000,5575.000000,5391.027832,38216000
2020-09-18,5575.000000,5675.000000,5500.000000,5575.000000,5391.027832,45798300
2020-09-21,5575.000000,5625.000000,5400.000000,5475.000000,5294.327637,26465000
2020-09-22,5300.000000,5425.000000,5275.000000,5300.000000,5125.102539,56798300
2020-09-23,5300.000000,5375.000000,5125.000000,5200.000000,5028.402344,42355400
2020-09-24,5050.000000,5150.000000,5000.000000,5075.000000,4907.527344,60982500
2020-09-25,5200.000000,5350.000000,5075.000000,5350.000000,5173.452637,70227800
2020-09-28,5400.000000,5425.000000,5150.000000,5150.000000,4980.052734,49851300
2020-09-29,5200.000000,5250.000000,5025.000000,5075.000000,4907.527344,55662800
2020-09-30,5100.000000,5150.000000,4860.000000,4960.000000,4796.322266,75764900
2020-10-01,5000.000000,5200.000000,4980.000000,5200.000000,5028.402344,39477100
2020-10-02,5175.000000,5225.000000,5000.000000,5200.000000,5028.402344,49571700
2020-10-05,5250.000000,5375.000000,5175.000000,5350.000000,5173.452637,37150400
2020-10-06,5500.000000,5550.000000,5450.000000,5500.000000,5318.502441,44552200
2020-10-07,5400.000000,5550.000000,5375.000000,5550.000000,5366.852539,44374300
2020-10-08,5550.000000,5575.000000,5425.000000,5450.000000,5270.152832,44381700
2020-10-09,5450.000000,5575.000000,5450.000000,5550.000000,5366.852539,45124300
2020-10-12,5575.000000,5650.000000,5550.000000,5625.000000,5439.377930,38973500
2020-10-13,5625.000000,5675.000000,5525.000000,5675.000000,5487.727539,34931700
2020-10-14,5725.000000,5775.000000,5625.000000,5775.000000,5584.427734,54893600
2020-10-15,5700.000000,5750.000000,5600.000000,5600.000000,5415.202637,38644600
2020-10-16,5600.000000,5650.000000,5450.000000,5575.000000,5391.027832,33908900
2020-10-19,5600.000000,5725.000000,5575.000000,5700.000000,5511.902832,29468100
2020-10-20,5725.000000,5750.000000,5600.000000,5650.000000,5463.552734,38606600
2020-10-21,5675.000000,5725.000000,5475.000000,5525.000000,5342.677734,56950900
2020-10-22,5500.000000,5550.000000,5400.000000,5450.000000,5270.152832,69350700
2020-10-23,5525.000000,5575.000000,5475.000000,5550.000000,5366.852539,32950100
2020-10-26,5625.000000,5850.000000,5625.000000,5775.000000,5584.427734,94287200
2020-10-27,5750.000000,5850.000000,5700.000000,5775.000000,5584.427734,56347900
2020-11-02,5675.000000,6025.000000,5600.000000,5975.000000,5777.828125,108431400
2020-11-03,5975.000000,6000.000000,5900.000000,6000.000000,5802.002930,37981700
2020-11-04,5950.000000,6025.000000,5700.000000,5700.000000,5511.902832,76408700
2020-11-05,5875.000000,6000.000000,5825.000000,5975.000000,5777.828125,87938700
2020-11-06,5975.000000,6100.000000,5925.000000,6050.000000,5850.353027,82109500
2020-11-09,6250.000000,6300.000000,6050.000000,6150.000000,5947.053223,61326600
2020-11-10,6400.000000,6525.000000,6300.000000,6375.000000,6164.627930,124794400
2020-11-11,6425.000000,6500.000000,6350.000000,6375.000000,6164.627930,83245100
2020-11-12,6375.000000,6400.000000,6100.000000,6175.000000,5971.228027,68075300
2020-11-13,6100.000000,6250.000000,6075.000000,6250.000000,6043.752930,61021900
2020-11-16,6300.000000,6450.000000,6150.000000,6200.000000,5995.402832,66958800
2020-11-17,6275.000000,6375.000000,6200.000000,6250.000000,6043.752930,53130800
2020-11-18,6150.000000,6350.000000,6150.000000,6350.000000,6140.453125,62468000
2020-11-19,6250.000000,6350.000000,6200.000000,6325.000000,6116.277832,47404100
2020-11-20,6275.000000,6350.000000,6250.000000,6300.000000,6092.103027,50286800
2020-11-23,6300.000000,6425.000000,6275.000000,6400.000000,6188.803223,53452700
2020-11-24,6450.000000,6500.000000,6375.000000,6425.000000,6212.978027,70464600
2020-11-25,6500.000000,6650.000000,6500.000000,6525.000000,6309.678223,98852000
2020-11-26,6600.000000,6725.000000,6550.000000,6725.000000,6503.078125,66137700
2020-11-27,6775.000000,6800.000000,6625.000000,6650.000000,6430.553223,62173400
2020-11-30,6550.000000,6625.000000,6225.000000,6325.000000,6116.277832,153950400
2020-12-01,6325.000000,6625.000000,6325.000000,6525.000000,6309.678223,88284000
2020-12-02,6525.000000,6650.000000,6475.000000,6650.000000,6430.553223,57360800
2020-12-03,6650.000000,6675.000000,6525.000000,6575.000000,6358.028320,77671200
2020-12-04,6500.000000,6600.000000,6425.000000,6600.000000,6382.203125,37488000
2020-12-07,6675.000000,6750.000000,6625.000000,6700.000000,6478.903320,66792900
2020-12-08,6675.000000,6725.000000,6600.000000,6675.000000,6454.728027,35175200
2020-12-10,6775.000000,6850.000000,6725.000000,6800.000000,6575.603516,93923500
2020-12-11,6850.000000,6875.000000,6700.000000,6775.000000,6551.428223,47270900
2020-12-14,6725.000000,6800.000000,6675.000000,6725.000000,6503.078125,47322600
2020-12-15,6700.000000,6725.000000,6600.000000,6700.000000,6478.903320,67831900
2020-12-16,6800.000000,6825.000000,6725.000000,6775.000000,6551.428223,48680900
2020-12-17,6775.000000,6875.000000,6775.000000,6875.000000,6648.128418,54983000
2020-12-18,6800.000000,6825.000000,6700.000000,6700.000000,6478.903320,71398900
2020-12-21,6775.000000,6800.000000,6675.000000,6700.000000,6478.903320,41587300
2020-12-22,6575.000000,6625.000000,6350.000000,6400.000000,6188.803223,82964900
2020-12-23,6500.000000,6600.000000,6200.000000,6350.000000,6140.453125,55016200
2020-12-28,6500.000000,6575.000000,6300.000000,6525.000000,6309.678223,37763500
2020-12-29,6575.000000,6600.000000,6400.000000,6425.000000,6212.978027,28711300
2020-12-30,6525.000000,6525.000000,6325.000000,6325.000000,6116.277832,44470700
2021-01-04,6350.000000,6525.000000,6225.000000,6500.000000,6285.502930,30529000
